TOTAL NACIONAL,
    5 personas o más,67.776,67.457,67.083,66.664,66.194,65.689,65.132,64.523,63.865,63.159,62.398,61.591,60.754,59.889,59.021,58.153,
Palmas, Las,
    Total,509.053,505.283,501.347,497.120,492.677,487.983,483.076,477.911,472.536,466.904,461.145,455.228,449.253,443.179,437.353,431.692,
    1 persona,128.221,126.582,124.956,123.275,121.579,119.845,118.097,116.298,114.467,112.608,110.782,108.945,107.179,105.377,103.801,102.291,
    2 personas,157.337,155.540,153.676,151.680,149.603,147.426,145.149,142.796,140.358,137.808,135.276,132.756,130.240,127.739,125.360,123.056,
    3 personas,114.038,113.456,112.817,112.111,111.342,110.506,109.616,108.663,107.665,106.602,105.466,104.274,103.023,101.752,100.452,99.188,
    4 personas,74.396,74.687,74.949,75.193,75.400,75.579,75.736,75.848,75.933,75.987,75.963,75.860,75.701,75.494,75.229,74.950,
    5 personas o más,35.061,35.018,34.949,34.862,34.753,34.627,34.478,34.306,34.113,33.899,33.658,33.393,33.110,32.816,32.511,32.206,
Santa Cruz de Tenerife,
    Total,498.468,494.370,490.040,485.405,480.406,475.057,469.447,463.493,457.201,450.611,443.805,436.733,429.510,422.159,415.005,408.190,
    1 persona,125.076,123.455,121.818,120.146,118.389,116.561,114.712,112.785,110.784,108.756,106.723,104.652,102.606,100.497,98.576,96.752,
    2 personas,154.778,152.956,151.074,149.106,147.045,144.855,142.588,140.241,137.810,135.289,132.780,130.219,127.646,125.099,122.611,120.330,
    3 personas,104.418,104.293,104.097,103.806,103.418,102.932,102.374,101.728,100.999,100.183,99.265,98.261,97.171,96.050,94.893,93.792,
    4 personas,81.481,81.228,80.916,80.544,80.113,79.647,79.118,78.521,77.856,77.123,76.298,75.402,74.443,73.439,72.414,71.369,
    5 personas o más,32.715,32.439,32.135,31.802,31.442,31.062,30.654,30.218,29.752,29.260,28.740,28.199,27.644,27.073,26.510,25.947,
CANTABRIA,
    Total,249.115,248.849,248.537,248.147,247.712,247.141,246.561,245.927,245.238,244.551,243.785,243.063,242.311,241.496,240.703,239.961,
    1 persona,79.359,78.622,77.881,77.080,76.255,75.342,74.447,73.529,72.582,71.667,70.726,69.850,68.989,68.079,67.259,66.470,
    2 personas,84.109,83.588,83.045,82.448,81.856,81.208,80.539,79.851,79.142,78.444,77.704,76.987,76.247,75.488,74.690,73.925,
